,name,symbol,has_intraday,has_eod,country,acronym,country_code,city
94,Fidelity National Information Services Inc,FIS,False,True,USA,NYSE,US,New York
95,British American Tobacco Plc,BTI,False,True,USA,NYSE,US,New York
96,3M Company,MMM,False,True,USA,NYSE,US,New York
97,Lowe`s Cos. Inc,LOW,False,True,USA,NYSE,US,New York
98,Diageo plc,DEO,False,True,USA,NYSE,US,New York
100,CVS Health Corp,CVS,False,True,USA,NYSE,US,New York
101,T-Mobile US Inc,TMUS,False,True,USA,NASDAQ,US,New York
102,Mondelez International Inc - Class A,MDLZ,False,True,USA,NASDAQ,US,New York
103,United Parcel Service Inc - Class B,UPS,False,True,USA,NYSE,US,New York
104,Deutsche Telekom AG,DTEGY,False,True,USA,OTC,US,New York
105,Sony Corporation.,SNE,False,True,USA,NYSE,US,New York
106,Altria Group Inc,MO,False,True,USA,NYSE,US,New York
107,Fiserv Inc,FISV,False,True,USA,NASDAQ,US,New York
108,Enbridge Inc,ENB,False,True,USA,NYSE,US,New York
109,Blackrock Inc,BLK,False,True,USA,NYSE,US,New York
110,Deutsche Telekom AG,DTEGF,False,True,USA,OTC,US,New York
111,TJX Companies Inc,TJX,False,True,USA,NYSE,US,New York
112,CME Group Inc - Class A,CME,False,True,USA,NASDAQ,US,New York
113,Unilever NV,UN,False,True,USA,NYSE,US,New York
114,Stryker Corp,SYK,False,True,USA,NYSE,US,New York
115,U.S. Bancorp.,USB,False,True,USA,NYSE,US,New York
116,Intuit Inc,INTU,False,True,USA,NASDAQ,US,New York
117,Goldman Sachs Group Inc,GS,False,True,USA,NYSE,US,New York
118,Cigna Group (The),CI,False,True,USA,NYSE,US,New York
119,Morgan Stanley,MS,False,True,USA,NYSE,US,New York
120,Booking Holdings Inc,BKNG,False,True,USA,NASDAQ,US,New York
121,Duke Energy Corp,DUK,False,True,USA,NYSE,US,New York
122,S&P Global Inc,SPGI,False,True,USA,NYSE,US,New York
123,Automatic Data Processing Inc,ADP,False,True,USA,NASDAQ,US,New York
124,Caterpillar Inc,CAT,False,True,USA,NYSE,US,New York
125,Dominion Energy Inc,D,False,True,USA,NYSE,US,New York
126,Dominion Energy 7.25 06-01-22,DCUE,False,True,USA,NYSE,US,New York
127,Estee Lauder Cos. Inc - Class A,EL,False,True,USA,NYSE,US,New York
128,Chubb Ltd,CB,False,True,USA,NYSE,US,New York
129,Anthem Inc,ANTM,False,True,USA,NYSE,US,New York
130,Southern Company,SO,False,True,USA,NYSE,US,New York
131,Southern Company Unit Series A 2019,SOLN,False,True,USA,NYSE,US,New York
132,Blackstone Inc,BX,False,True,USA,NYSE,US,New York
133,Becton Dickinson And Company,BDX,False,True,USA,NYSE,US,New York
134,Zoetis Inc - Class A,ZTS,False,True,USA,NYSE,US,New York
135,Truist Financial Corporation,TFC,False,True,USA,NYSE,US,New York
136,ServiceNow Inc,NOW,False,True,USA,NYSE,US,New York
137,Prologis Inc,PLD,False,True,USA,NYSE,US,New York
138,BHP Group Ltd,BHP,False,True,USA,NYSE,US,New York
139,Crown Castle Inc,CCI,False,True,USA,NYSE,US,New York
140,Unilever plc,UL,False,True,USA,NYSE,US,New York
141,Intuitive Surgical Inc,ISRG,False,True,USA,NASDAQ,US,New York
142,Bank Of Nova Scotia,BNS,False,True,USA,NYSE,US,New York
143,Cnooc Ltd,CEO,False,True,USA,NYSE,US,New York
144,Allergan Inc,AGN,False,True,USA,NYSE,US,New York
145,Brookfield Asset Management Ltd - Class A,BAM,False,True,USA,NYSE,US,New York
146,Colgate-Palmolive Company,CL,False,True,USA,NYSE,US,New York
147,Mitsubishi UFJ Financial Group Inc,MUFG,False,True,USA,NYSE,US,New York
148,Canadian National Railway Company,CNI,False,True,USA,NYSE,US,New York
149,Rio Tinto plc,RIO,False,True,USA,NYSE,US,New York
178,MICROSOFT DRN,MSFT34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
179,APPLE DRN,AAPL34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
180,ALPHABET DRN C,GOGL35.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
181,ALIBABAGR DRN,BABA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
182,FACEBOOK DRN,FBOK34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
183,AMAZON DRN,AMZO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
184,VISA INC DRN,VISA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
185,ALPHABET DRN A,GOGL34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
186,JOHNSON DRN,JNJB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
187,WAL MART DRN,WALM34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
188,MASTERCARD DRN,MSCD34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
189,PG DRN,PGCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
190,TAIWANSMFAC DRN,TSMC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
191,ATT INC DRN,ATTB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
192,UNITEDHEALTHDRN,UNHH34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
193,HOME DEPOT DRN,HOME34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
194,INTEL DRN,ITLC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
195,COCA COLA DRN,COCA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
196,VERIZON DRN,VERZ34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
197,EXXON MOBIL DRN,EXXO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
198,WALT DISNEY DRN,DISB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
199,MERCK DRN,MRCK34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
200,PEPSICO INC DRN,PEPB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
201,TOYOTAMO DRN,TMCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
202,CHEVRON DRN,CHVX34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
203,ADOBE INC DRN,ADBE34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
204,CISCO DRN,CSCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
205,WELLS FARGO DRN,WFCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
206,RD SHELL DRN,RDSA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
207,NVIDIA CORP DRN,NVDC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
208,NETFLIX DRN,NFLX34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
209,ORACLE DRN,ORCL34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
210,SALESFORCE DRN,SSFO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
211,MCDONALDS DRN,MCDC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
212,SAP SE DRN,SAPP34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
213,NIKE DRN,NIKE34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
214,ABBOTT DRN,ABTT34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
215,CITIGROUP DRN,CTGP34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
216,MEDTRONIC DRN,MDTC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
217,TESLA INC DRN,TSLA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
218,UNILEVER DRN,ULEV34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
219,COSTCO DRN,COWC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
220,BRISTOLMYERSDRN,BMYB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
221,PAYPAL HOLD DRN,PYPL34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
222,NEXTERA ENERDRN,NEXT34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
223,ABBVIE DRN,ABBV34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
224,LILLY DRN,LILY34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
225,AMGEN DRN,AMGN34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
226,THERMFISCHERDRN,TMOS34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
227,ACCENTURE DRN,ACNB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
228,IBM DRN,IBMB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
229,HONEYWELL DRN,HONB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
231,BROADCOM INCDRN,AVGO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
232,TEXAS INC DRN,TEXA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
233,UNIONPACIFICDRN,UPAC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
234,BHP GROUP DRN,BHPG34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
235,LOCKHEED DRN,LMTB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
236,DANAHER CORPDRN,DHER34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
237,CHARTER COMMDRN,CHCM34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
238,STARBUCKS DRN,SBUB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
239,GILEAD DRN,GILD34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
240,QUALCOMM DRN,QCOM34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
241,AMERICAN EXPDRN,AXPB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
242,FIDELITY NATDRN,F1NI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
243,3M DRN,MMMC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
244,LOWES COMPA DRN,LOWC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
245,DIAGEO PL DRN ED,DEOP34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
246,CVS HEALTH DRN,CVSH34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
248,PETROBRAS ON N2,PETR3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
249,MONDELEZ INTDRN,MDLZ34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
250,UPS DRN,UPSS34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
251,MORGAN STAN DRN,MSBR34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
252,ALTRIA GROUPDRN,MOOO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
253,SONY CORP DRN,SNEC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
254,RIO TINTO DRN,RIOT34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
255,BLACKROCK DRN,BLAK34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
256,TJX COMPANIEDRN,TJXC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
257,CME GROUP DRN,CHME34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
