"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"GBR","United Kingdom","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W51","26-Dec-21",9.2698039034444,,
"GBR","United Kingdom","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W51","26-Dec-21",0.647580884779669,,
"GBR","United Kingdom","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W51","26-Dec-21",-1.84197494913163,,
"GBR","United Kingdom","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",7.95567309239887,,
"GBR","United Kingdom","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",11.3316673903211,,
"GBR","United Kingdom","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",-0.820241692624595,,
"GBR","United Kingdom","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",2.37014222367094,,
"GBR","United Kingdom","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",-3.27349038205612,,
"GBR","United Kingdom","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",-0.162021813962776,,
"USA","United States","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W50","19-Dec-21",4.4659626843507,,
"USA","United States","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W50","19-Dec-21",2.04792352623178,,
"USA","United States","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W50","19-Dec-21",-1.87374838590985,,
"USA","United States","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W50","19-Dec-21",2.5393413269287,,
"USA","United States","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W50","19-Dec-21",6.73608803352357,,
"USA","United States","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W50","19-Dec-21",0.945641413047702,,
"USA","United States","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W50","19-Dec-21",3.63460411833883,,
"USA","United States","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W50","19-Dec-21",-2.93367011925318,,
"USA","United States","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W50","19-Dec-21",-0.348043465787018,,
"USA","United States","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W51","26-Dec-21",4.90072115858181,,
"USA","United States","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W51","26-Dec-21",4.48050272439635,,
"USA","United States","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W51","26-Dec-21",0.465347503767322,,
"USA","United States","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",3.10283935776437,,
"USA","United States","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",6.86100177553235,,
"USA","United States","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",2.79183636283895,,
"USA","United States","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",6.39738078177906,,
