,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,516.9,519.2,515.6,515.7,8154536.0,,,515.7,,,1.0,0.0,HSBA.XLON,XLON,2022-12-30T00:00:00+0000
1,516.9,520.15,514.4,518.8,7092935.0,,,518.8,,,1.0,0.0,HSBA.XLON,XLON,2022-12-29T00:00:00+0000
2,515.3,520.7,510.7,518.0,11563270.0,,,518.0,,,1.0,0.0,HSBA.XLON,XLON,2022-12-28T00:00:00+0000
3,510.3,510.3,510.3,510.3,2659834.0,,,510.3,,,1.0,0.0,HSBA.XLON,XLON,2022-12-27T00:00:00+0000
4,511.4,513.3,508.9,510.3,19354109.0,,,510.3,,,1.0,0.0,HSBA.XLON,XLON,2022-12-23T00:00:00+0000
5,512.7,516.1,510.6,512.3,9805259.0,,,512.3,,,1.0,0.0,HSBA.XLON,XLON,2022-12-22T00:00:00+0000
6,501.8,511.9,501.4,511.3,13387212.0,,,511.3,,,1.0,0.0,HSBA.XLON,XLON,2022-12-21T00:00:00+0000
7,495.5,503.9,494.7,502.8,33320954.0,,,502.8,,,1.0,0.0,HSBA.XLON,XLON,2022-12-20T00:00:00+0000
8,493.85,496.85,492.15,495.75,9356036.0,,,495.75,,,1.0,0.0,HSBA.XLON,XLON,2022-12-19T00:00:00+0000
9,493.0,496.3,481.0,492.25,48691974.0,,,492.25,,,1.0,0.0,HSBA.XLON,XLON,2022-12-16T00:00:00+0000
10,492.5,493.8,487.65,492.65,16207824.0,,,492.65,,,1.0,0.0,HSBA.XLON,XLON,2022-12-15T00:00:00+0000
11,500.0,502.8,496.65,497.7,54743273.0,,,497.7,,,1.0,0.0,HSBA.XLON,XLON,2022-12-14T00:00:00+0000
12,498.2,508.0,497.7,500.1,20387077.0,,,500.1,,,1.0,0.0,HSBA.XLON,XLON,2022-12-13T00:00:00+0000
13,499.6,499.95,493.0999,496.35,13956338.0,,,496.35,,,1.0,0.0,HSBA.XLON,XLON,2022-12-12T00:00:00+0000
14,495.9,498.35,493.6,496.2,13559342.0,,,496.2,,,1.0,0.0,HSBA.XLON,XLON,2022-12-09T00:00:00+0000
15,494.6,498.9994,493.5,495.3,13331583.0,,,495.3,,,1.0,0.0,HSBA.XLON,XLON,2022-12-08T00:00:00+0000
16,495.5,498.3,491.85,493.85,28034105.0,,,493.85,,,1.0,0.0,HSBA.XLON,XLON,2022-12-07T00:00:00+0000
17,496.7,503.0,496.0,498.65,18401229.0,,,498.65,,,1.0,0.0,HSBA.XLON,XLON,2022-12-06T00:00:00+0000
18,497.0,502.8,494.4,500.0,15218469.0,,,500.0,,,1.0,0.0,HSBA.XLON,XLON,2022-12-05T00:00:00+0000
19,492.95,499.1,488.3,498.5,19086697.0,,,498.5,,,1.0,0.0,HSBA.XLON,XLON,2022-12-02T00:00:00+0000
20,501.0,506.7,497.35,497.9,15422283.0,,,497.9,,,1.0,0.0,HSBA.XLON,XLON,2022-12-01T00:00:00+0000
21,507.3,511.9,504.5,509.7,39129448.0,,,509.7,,,1.0,0.0,HSBA.XLON,XLON,2022-11-30T00:00:00+0000
22,490.65,515.4,490.3,510.3,27961266.0,,,510.3,,,1.0,0.0,HSBA.XLON,XLON,2022-11-29T00:00:00+0000
23,481.4,490.4,481.2,488.6,42162347.0,,,488.6,,,1.0,0.0,HSBA.XLON,XLON,2022-11-28T00:00:00+0000
24,487.8,491.75,487.8,491.0,26946506.0,,,491.0,,,1.0,0.0,HSBA.XLON,XLON,2022-11-25T00:00:00+0000
25,489.55,492.98,487.525,489.5,7949976.0,,,489.5,,,1.0,0.0,HSBA.XLON,XLON,2022-11-24T00:00:00+0000
26,486.95,491.45,484.7,489.2,13747390.0,,,489.2,,,1.0,0.0,HSBA.XLON,XLON,2022-11-23T00:00:00+0000
27,484.25,489.5,483.55,486.85,10022024.0,,,486.85,,,1.0,0.0,HSBA.XLON,XLON,2022-11-22T00:00:00+0000
28,479.55,486.0,478.1,483.5,38637431.0,,,483.5,,,1.0,0.0,HSBA.XLON,XLON,2022-11-21T00:00:00+0000
29,474.75,483.75,474.1,478.9,25964816.0,,,478.9,,,1.0,0.0,HSBA.XLON,XLON,2022-11-18T00:00:00+0000
30,476.9,481.4,471.3,481.2,13706326.0,,,481.2,,,1.0,0.0,HSBA.XLON,XLON,2022-11-17T00:00:00+0000
31,478.1,479.9,473.95,475.5,15847165.0,,,475.5,,,1.0,0.0,HSBA.XLON,XLON,2022-11-16T00:00:00+0000
32,482.5,483.9,475.95,480.0,18784598.0,,,480.0,,,1.0,0.0,HSBA.XLON,XLON,2022-11-15T00:00:00+0000
33,472.75,483.0,471.3,480.3,16068348.0,,,480.3,,,1.0,0.0,HSBA.XLON,XLON,2022-11-14T00:00:00+0000
34,472.25,476.6,469.65,471.0,21752168.0,,,471.0,,,1.0,0.0,HSBA.XLON,XLON,2022-11-11T00:00:00+0000
35,475.5,479.05,468.95,474.15,17825771.0,,,474.15,,,1.0,0.0,HSBA.XLON,XLON,2022-11-10T00:00:00+0000
36,477.15,478.35,472.85,476.7,9692355.0,,,476.7,,,1.0,0.0,HSBA.XLON,XLON,2022-11-09T00:00:00+0000
37,478.45,482.1,475.8405,478.65,11170863.0,,,478.65,,,1.0,0.0,HSBA.XLON,XLON,2022-11-08T00:00:00+0000
38,482.3099,491.4,476.1,479.4,23314597.0,,,479.4,,,1.0,0.0,HSBA.XLON,XLON,2022-11-07T00:00:00+0000
39,471.65,493.4,468.55,491.75,42033718.0,,,491.75,,,1.0,0.0,HSBA.XLON,XLON,2022-11-04T00:00:00+0000
40,454.4,463.15,452.95,463.15,16527769.0,,,463.15,,,1.0,0.0,HSBA.XLON,XLON,2022-11-03T00:00:00+0000
41,460.0,460.95,450.3,456.8,14346545.0,,,456.8,,,1.0,0.0,HSBA.XLON,XLON,2022-11-02T00:00:00+0000
42,453.6,459.6,452.85,458.55,38582392.0,,,458.55,,,1.0,0.0,HSBA.XLON,XLON,2022-11-01T00:00:00+0000
43,443.3,453.0,442.45,447.3,27450632.0,,,447.3,,,1.0,0.0,HSBA.XLON,XLON,2022-10-31T00:00:00+0000
44,445.45,446.05,439.65,442.2,17724784.0,,,442.2,,,1.0,0.0,HSBA.XLON,XLON,2022-10-28T00:00:00+0000
45,446.15,452.15,442.5,450.15,18266661.0,,,450.15,,,1.0,0.0,HSBA.XLON,XLON,2022-10-27T00:00:00+0000
46,449.35,449.75,434.7,443.8,60684996.0,,,443.8,,,1.0,0.0,HSBA.XLON,XLON,2022-10-26T00:00:00+0000
47,460.3,460.3788,436.2,442.65,38535258.0,,,442.65,,,1.0,0.0,HSBA.XLON,XLON,2022-10-25T00:00:00+0000
48,471.0,477.6,468.25,475.1,23443411.0,,,475.1,,,1.0,0.0,HSBA.XLON,XLON,2022-10-24T00:00:00+0000
49,474.75,478.3,467.9,478.05,18386680.0,,,478.05,,,1.0,0.0,HSBA.XLON,XLON,2022-10-21T00:00:00+0000
50,473.25,477.7,470.8,472.9,22436429.0,,,472.9,,,1.0,0.0,HSBA.XLON,XLON,2022-10-20T00:00:00+0000
51,469.0,477.75,466.65,474.0,21250317.0,,,474.0,,,1.0,0.0,HSBA.XLON,XLON,2022-10-19T00:00:00+0000
52,472.15,476.45,464.65,465.75,18044285.0,,,465.75,,,1.0,0.0,HSBA.XLON,XLON,2022-10-18T00:00:00+0000
53,464.0,475.2,462.45,471.25,31807308.0,,,471.25,,,1.0,0.0,HSBA.XLON,XLON,2022-10-17T00:00:00+0000
54,463.3209,465.15,456.25,460.1,35952249.0,,,460.1,,,1.0,0.0,HSBA.XLON,XLON,2022-10-14T00:00:00+0000
55,448.15,461.8,442.35,459.25,28824782.0,,,459.25,,,1.0,0.0,HSBA.XLON,XLON,2022-10-13T00:00:00+0000
56,453.0,453.9,443.634,449.05,24557133.0,,,449.05,,,1.0,0.0,HSBA.XLON,XLON,2022-10-12T00:00:00+0000
57,461.2,462.15,452.995,454.5,21056147.0,,,454.5,,,1.0,0.0,HSBA.XLON,XLON,2022-10-11T00:00:00+0000
58,463.05,467.7,461.65,462.75,23450861.0,,,462.75,,,1.0,0.0,HSBA.XLON,XLON,2022-10-10T00:00:00+0000
59,470.0,473.35,463.9,467.0,17385940.0,,,467.0,,,1.0,0.0,HSBA.XLON,XLON,2022-10-07T00:00:00+0000
60,474.0,478.45,468.4,471.3,39583689.0,,,471.3,,,1.0,0.0,HSBA.XLON,XLON,2022-10-06T00:00:00+0000
61,477.0,478.55,465.15,472.4,37505509.0,,,472.4,,,1.0,0.0,HSBA.XLON,XLON,2022-10-05T00:00:00+0000
