symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
CAT,124,Caterpillar Inc,False,True,NYSE
D,125,Dominion Energy Inc,False,True,NYSE
DCUE,126,Dominion Energy 7.25 06-01-22,False,True,NYSE
EL,127,Estee Lauder Cos. Inc - Class A,False,True,NYSE
CB,128,Chubb Ltd,False,True,NYSE
ANTM,129,Anthem Inc,False,True,NYSE
SO,130,Southern Company,False,True,NYSE
SOLN,131,Southern Company Unit Series A 2019,False,True,NYSE
BX,132,Blackstone Inc,False,True,NYSE
BDX,133,Becton Dickinson And Company,False,True,NYSE
ZTS,134,Zoetis Inc - Class A,False,True,NYSE
TFC,135,Truist Financial Corporation,False,True,NYSE
NOW,136,ServiceNow Inc,False,True,NYSE
PLD,137,Prologis Inc,False,True,NYSE
BHP,138,BHP Group Ltd,False,True,NYSE
CCI,139,Crown Castle Inc,False,True,NYSE
UL,140,Unilever plc,False,True,NYSE
ISRG,141,Intuitive Surgical Inc,False,True,NASDAQ
BNS,142,Bank Of Nova Scotia,False,True,NYSE
CEO,143,Cnooc Ltd,False,True,NYSE
AGN,144,Allergan Inc,False,True,NYSE
BAM,145,Brookfield Asset Management Ltd - Class A,False,True,NYSE
CL,146,Colgate-Palmolive Company,False,True,NYSE
MUFG,147,Mitsubishi UFJ Financial Group Inc,False,True,NYSE
CNI,148,Canadian National Railway Company,False,True,NYSE
RIO,149,Rio Tinto plc,False,True,NYSE
MSFT34.BVMF,178,MICROSOFT DRN,False,True,Bovespa
AAPL34.BVMF,179,APPLE DRN,False,True,Bovespa
GOGL35.BVMF,180,ALPHABET DRN C,False,True,Bovespa
BABA34.BVMF,181,ALIBABAGR DRN,False,True,Bovespa
FBOK34.BVMF,182,FACEBOOK DRN,False,True,Bovespa
AMZO34.BVMF,183,AMAZON DRN,False,True,Bovespa
VISA34.BVMF,184,VISA INC DRN,False,True,Bovespa
GOGL34.BVMF,185,ALPHABET DRN A,False,True,Bovespa
JNJB34.BVMF,186,JOHNSON DRN,False,True,Bovespa
WALM34.BVMF,187,WAL MART DRN,False,True,Bovespa
MSCD34.BVMF,188,MASTERCARD DRN,False,True,Bovespa
PGCO34.BVMF,189,PG DRN,False,True,Bovespa
TSMC34.BVMF,190,TAIWANSMFAC DRN,False,True,Bovespa
ATTB34.BVMF,191,ATT INC DRN,False,True,Bovespa
UNHH34.BVMF,192,UNITEDHEALTHDRN,False,True,Bovespa
HOME34.BVMF,193,HOME DEPOT DRN,False,True,Bovespa
ITLC34.BVMF,194,INTEL DRN,False,True,Bovespa
COCA34.BVMF,195,COCA COLA DRN,False,True,Bovespa
VERZ34.BVMF,196,VERIZON DRN,False,True,Bovespa
EXXO34.BVMF,197,EXXON MOBIL DRN,False,True,Bovespa
DISB34.BVMF,198,WALT DISNEY DRN,False,True,Bovespa
MRCK34.BVMF,199,MERCK DRN,False,True,Bovespa
PEPB34.BVMF,200,PEPSICO INC DRN,False,True,Bovespa
TMCO34.BVMF,201,TOYOTAMO DRN,False,True,Bovespa
CHVX34.BVMF,202,CHEVRON DRN,False,True,Bovespa
ADBE34.BVMF,203,ADOBE INC DRN,False,True,Bovespa
CSCO34.BVMF,204,CISCO DRN,False,True,Bovespa
WFCO34.BVMF,205,WELLS FARGO DRN,False,True,Bovespa
RDSA34.BVMF,206,RD SHELL DRN,False,True,Bovespa
NVDC34.BVMF,207,NVIDIA CORP DRN,False,True,Bovespa
NFLX34.BVMF,208,NETFLIX DRN,False,True,Bovespa
ORCL34.BVMF,209,ORACLE DRN,False,True,Bovespa
SSFO34.BVMF,210,SALESFORCE DRN,False,True,Bovespa
MCDC34.BVMF,211,MCDONALDS DRN,False,True,Bovespa
SAPP34.BVMF,212,SAP SE DRN,False,True,Bovespa
NIKE34.BVMF,213,NIKE DRN,False,True,Bovespa
ABTT34.BVMF,214,ABBOTT DRN,False,True,Bovespa
CTGP34.BVMF,215,CITIGROUP DRN,False,True,Bovespa
MDTC34.BVMF,216,MEDTRONIC DRN,False,True,Bovespa
TSLA34.BVMF,217,TESLA INC DRN,False,True,Bovespa
ULEV34.BVMF,218,UNILEVER DRN,False,True,Bovespa
COWC34.BVMF,219,COSTCO DRN,False,True,Bovespa
BMYB34.BVMF,220,BRISTOLMYERSDRN,False,True,Bovespa
PYPL34.BVMF,221,PAYPAL HOLD DRN,False,True,Bovespa
NEXT34.BVMF,222,NEXTERA ENERDRN,False,True,Bovespa
ABBV34.BVMF,223,ABBVIE DRN,False,True,Bovespa
LILY34.BVMF,224,LILLY DRN,False,True,Bovespa
AMGN34.BVMF,225,AMGEN DRN,False,True,Bovespa
TMOS34.BVMF,226,THERMFISCHERDRN,False,True,Bovespa
ACNB34.BVMF,227,ACCENTURE DRN,False,True,Bovespa
IBMB34.BVMF,228,IBM DRN,False,True,Bovespa
HONB34.BVMF,229,HONEYWELL DRN,False,True,Bovespa
AVGO34.BVMF,231,BROADCOM INCDRN,False,True,Bovespa
TEXA34.BVMF,232,TEXAS INC DRN,False,True,Bovespa
UPAC34.BVMF,233,UNIONPACIFICDRN,False,True,Bovespa
BHPG34.BVMF,234,BHP GROUP DRN,False,True,Bovespa
LMTB34.BVMF,235,LOCKHEED DRN,False,True,Bovespa
DHER34.BVMF,236,DANAHER CORPDRN,False,True,Bovespa
CHCM34.BVMF,237,CHARTER COMMDRN,False,True,Bovespa
SBUB34.BVMF,238,STARBUCKS DRN,False,True,Bovespa
