Time,AA,BATS.XLON,BP.XLON,CAT,DGE.XLON,FDX,HSBA.XLON,ULVR.XLON,WMT,NYSE,LSE,NYSEQ1,LSEQ1,NYSEQ3,LSEQ3,USA_GDP,GBR_GDP
2022-03-27,,,,,,,,,,,,,,,,,
2022-04-03,-1.4453058508580252,-0.3147422635031094,-1.5570934256055269,-0.6560341676446368,2.6870419814804425,1.0934500693700722,2.3241590214067243,2.9243083128505765,3.9146473635541135,0.773727504279953,1.7369111451430275,2.969132162823196,2.3241590214067243,-0.18719043734639618,2.9243083128505765,-8.039943755204682,-10.919533596369678
2022-04-10,-5.278776554821086,0.9869510498774714,1.6081788461174806,-1.9423680235485352,3.0224238400826,-9.512768290772367,0.30158126392434426,0.5143591941705994,3.642783327592136,-3.676095846989569,1.5172658562751407,2.136458711656264,0.30158126392434426,-6.241536996312746,0.5143591941705994,-14.188770082140456,-22.498794637531127
2022-04-17,0.5868019294842819,0.05465914556823659,3.394956107722069,3.0528949014186235,-1.0603755347521782,-0.685619308147789,-0.7438307554784918,-2.2601279317697176,0.7487420948160572,1.035075342730929,-0.9490728573157248,0.7233850370647277,-0.7438307554784918,0.28499888905981763,-2.2601279317697176,-9.065227618363735,-16.59741240880821
2022-04-24,-11.459929796806245,1.24117737036471,-0.6633881000262409,0.8690930577958111,-1.286666932008551,0.6896551724137723,0.2570792306180847,1.8719355106789681,1.1390502721624784,-0.7155865457382671,0.45648017844537314,-0.8310591946070089,0.2570792306180847,0.7375278543521047,1.8719355106789681,1.8549279289379994,0.09707704701642506
2022-05-01,-11.29041264168854,0.5072197880468865,-1.984803873636043,-5.856760162884811,2.286972586019198,-2.6275329999861263,-5.589384973024181,4.470968531397235,-2.087542697677802,-4.59097799495275,1.9378836906142727,-3.3723631487862282,-5.589384973024181,-3.490191765989681,4.470968531397235,-6.370793318514078,2.112838292781305
2022-05-08,-7.9897610205408975,-0.053687239616895255,7.733449107217116,0.891325552453659,-2.6553786199019047,2.5512091038406792,2.148010927464994,-0.7750084186997519,-1.6999028362559399,-0.1647261343742601,-0.8052930967990646,-2.5060776214448466,2.148010927464994,2.1186596664066526,-0.7750084186997519,-7.1977368560373955,-5.916972742458282
2022-05-15,-9.189793172644967,1.5233879804903205,-1.3092798532097438,-4.429257234297889,-2.722750636167437,1.5368930624813482,-1.9821752415092542,2.0770929551971573,-2.106789170463541,-2.407439088076957,0.04173359025512191,-2.9635595815048044,-1.9821752415092542,-1.0517714632961583,2.0770929551971573,-16.209059772458367,-10.705322375446691
2022-05-22,8.108379579639902,2.5460317460317405,2.0955326579902955,0.09767192002063663,-2.0529801324503327,-1.6188192864900253,-0.22317571848183837,-3.446149101842577,-15.178382536782408,-3.4101943706997706,-0.9502423728309339,-12.542318920501538,-0.22317571848183837,-0.7574416998893163,-3.446149101842577,-30.476596993946693,-12.171417618885915
2022-05-29,2.126498188237491,1.894619528202579,2.466089146825068,3.330324721035405,-1.4469235970250183,3.3952288711614598,5.62939232578612,-2.1578569147237325,-0.0461986712921747,2.51768282199214,-0.2311190453128109,0.25782494230830455,5.62939232578612,3.569805331021181,-1.0566379218567068,5.088710060730173,-2.3612709990335157
2022-06-05,-0.3684539716836355,-0.21470093779748511,1.0713217951699106,3.8089713517733825,0.4331974282578033,3.9711730706924575,1.5710811770813349,5.565643170458023,0.4582304252525704,2.7492873760005088,1.857229584914566,0.34039711375666304,1.5710811770813349,3.7536141131434775,2.67182246133153,4.965685453729773,0.40664127843694775
2022-06-12,-7.949914965015825,-0.06089515883487273,1.488882680646153,0.15708022462310733,-1.828756562640288,-3.5819868926889264,-3.2684134072200832,-0.9064027984461709,-3.5364982767721154,-2.702077749698617,-0.9582245698576575,-4.161130420103176,-3.2684134072200832,-2.064557480950302,-1.1613055353598911,-10.924230747522012,-6.980049843299396
2022-06-19,-13.699377526473711,-1.0297552554077383,-7.914892238936466,-9.495179831845558,-2.8330019880715707,5.778981988197551,0.6813315164492906,-1.6831142489370898,-2.074042861991887,-3.0999312666736722,-1.9703185291439662,-3.654334971716011,0.6813315164492906,-4.444268185117695,-2.3419483101391525,-20.565969563011787,0.4140281674278823
2022-06-26,-1.2155521710393913,0.876292891150876,-4.6791749459283665,-5.60542335461649,2.811253196930963,4.166706244043583,3.5714285714285587,1.757552915038385,2.7000537859319884,0.14330703833524971,1.6648885900919508,2.223279704962322,3.5714285714285587,-2.7291924067609274,2.2942876918692345,0.4655165376413528,-3.762408513897375
2022-07-03,-5.651471957179444,1.6254704506154072,1.2802538370720429,-3.6552374841244073,-0.6925510955442027,-1.7370979066678283,0.8240659252740201,2.766243639978949,-0.01687537824123231,-2.3117810011735185,1.2230688932730382,-0.6798780070375376,0.8240659252740201,-3.091347827116475,-0.0019900893550084398,8.68437161553608,-21.420377303709024
2022-07-10,-5.799603801654152,-3.873563678584302,-2.1401770427307065,-2.701887892933319,-0.7074006532935107,-0.8939563600819267,-2.227159710098914,1.771758100007581,1.8275045251107347,-1.274154619056267,-0.9901438452770028,0.9749734415373412,-2.227159710098914,-2.1629695881386413,-1.132383378442925,-31.280363027182766,-5.715698686204318
2022-07-17,-2.291975222774112,-0.03332014410962758,-2.0473877193961876,-1.6924369918081883,2.417857431177839,-4.415216359959073,-1.3986581538794618,1.3159366262814443,1.8089952503157702,-2.06137315335323,1.0212065311847374,1.3813576025864416,-1.3986581538794618,-2.5145855196101463,2.1477888041224746,6.975290529022904,3.574606504989508
