,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,173.93,175.1599,171.55,173.2,1558536.0,175.1599,171.55,173.2,173.93,1558536.0,1.0,0.0,FDX,XNYS,2022-12-30T00:00:00+0000
1,173.84,176.87,173.61,175.55,1328303.0,176.87,173.61,175.55,173.84,1363011.0,1.0,0.0,FDX,XNYS,2022-12-29T00:00:00+0000
2,177.14,177.61,173.02,173.05,1660401.0,177.61,173.02,173.05,177.14,1705229.0,1.0,0.0,FDX,XNYS,2022-12-28T00:00:00+0000
3,175.72,177.9788,175.1,177.05,1936799.0,177.99,175.1,177.05,175.72,1936799.0,1.0,0.0,FDX,XNYS,2022-12-27T00:00:00+0000
4,175.71,179.06,175.51,175.93,3035904.0,179.06,175.51,175.93,175.71,3035904.0,1.0,0.0,FDX,XNYS,2022-12-23T00:00:00+0000
5,168.05,175.77,167.63,175.69,4835401.0,175.77,167.63,175.69,168.05,5122853.0,1.0,0.0,FDX,XNYS,2022-12-22T00:00:00+0000
6,174.54,174.78,168.1605,169.99,7815252.0,174.78,168.1605,169.99,174.54,7904800.0,1.0,0.0,FDX,XNYS,2022-12-21T00:00:00+0000
7,167.92,168.51,162.61,164.35,4248752.0,168.51,162.61,164.35,167.92,5451448.0,1.0,0.0,FDX,XNYS,2022-12-20T00:00:00+0000
8,170.29,171.71,167.03,168.78,2701142.0,171.71,167.03,168.78,170.29,2783770.0,1.0,0.0,FDX,XNYS,2022-12-19T00:00:00+0000
9,172.41,173.69,169.59,171.72,3381000.0,173.685,169.59,171.72,172.41,3383692.0,1.0,0.0,FDX,XNYS,2022-12-16T00:00:00+0000
10,175.12,176.26,171.77,173.17,1802809.0,176.2999,171.77,173.17,175.12,1802809.0,1.0,0.0,FDX,XNYS,2022-12-15T00:00:00+0000
11,176.37,180.93,175.81,178.07,1611665.0,180.93,175.81,178.07,176.37,1611665.0,1.0,0.0,FDX,XNYS,2022-12-14T00:00:00+0000
12,183.69,184.39,175.59,176.88,2754324.0,184.39,175.59,176.88,183.69,2754324.0,1.0,0.0,FDX,XNYS,2022-12-13T00:00:00+0000
13,172.08,178.225,171.915,177.37,2461604.0,178.225,172.08,177.37,172.08,2461604.0,1.0,0.0,FDX,XNYS,2022-12-12T00:00:00+0000
14,170.15,174.83,170.15,172.33,1475000.0,174.83,170.15,172.33,170.15,1475223.0,1.0,1.15,FDX,XNYS,2022-12-09T00:00:00+0000
15,171.29,174.66,170.51,171.91,2146464.0,174.66,170.51,171.91,171.29,2229569.0,1.0,0.0,FDX,XNYS,2022-12-08T00:00:00+0000
16,172.27,174.29,171.7,172.28,1500178.0,174.29,171.69,172.28,172.27,1500178.0,1.0,0.0,FDX,XNYS,2022-12-07T00:00:00+0000
17,176.44,176.57,171.09,173.05,2032476.0,176.57,171.09,173.05,176.44,2064145.0,1.0,0.0,FDX,XNYS,2022-12-06T00:00:00+0000
18,179.55,179.92,176.31,176.6,1510487.0,179.92,176.31,176.6,179.55,1560719.0,1.0,0.0,FDX,XNYS,2022-12-05T00:00:00+0000
19,178.16,182.46,177.08,181.41,2060000.0,182.46,177.081,181.41,178.16,2060261.0,1.0,0.0,FDX,XNYS,2022-12-02T00:00:00+0000
20,182.0,183.55,179.87,180.45,1502976.0,183.55,179.87,180.45,182.0,1562454.0,1.0,0.0,FDX,XNYS,2022-12-01T00:00:00+0000
21,177.02,183.03,176.75,182.22,5014486.0,183.06,176.75,182.22,177.02,5014486.0,1.0,0.0,FDX,XNYS,2022-11-30T00:00:00+0000
22,174.74,178.45,174.32,177.82,1663144.0,178.45,174.32,177.82,174.74,1663144.0,1.0,0.0,FDX,XNYS,2022-11-29T00:00:00+0000
23,175.75,176.24,171.89,173.21,2092828.0,176.24,171.89,173.21,175.75,2656980.0,1.0,0.0,FDX,XNYS,2022-11-28T00:00:00+0000
24,177.25,177.77,176.01,176.7,445300.0,177.77,176.01,176.7,177.25,445291.0,1.0,0.0,FDX,XNYS,2022-11-25T00:00:00+0000
25,175.81,176.89,175.27,176.36,1758000.0,176.89,175.27,176.36,175.81,1758209.0,1.0,0.0,FDX,XNYS,2022-11-23T00:00:00+0000
26,174.91,176.86,174.55,175.67,1456100.0,176.8599,174.55,175.67,174.91,1457323.0,1.0,0.0,FDX,XNYS,2022-11-22T00:00:00+0000
27,173.93,175.16,172.87,173.64,1384567.0,175.16,172.87,173.64,173.93,1385589.0,1.0,0.0,FDX,XNYS,2022-11-21T00:00:00+0000
28,174.0,175.14,172.11,174.72,1845400.0,175.14,172.105,174.72,174.0,1845945.0,1.0,0.0,FDX,XNYS,2022-11-18T00:00:00+0000
29,169.0,171.64,167.2,171.54,1641100.0,171.64,167.2,171.54,169.0,1641232.0,1.0,0.0,FDX,XNYS,2022-11-17T00:00:00+0000
30,174.0,175.62,169.56,170.77,2331644.0,175.62,169.56,170.77,174.0,2388355.0,1.0,0.0,FDX,XNYS,2022-11-16T00:00:00+0000
31,176.61,179.51,173.65,176.26,3007247.0,179.51,173.65,176.26,176.61,5216928.0,1.0,0.0,FDX,XNYS,2022-11-15T00:00:00+0000
32,174.52,178.89,174.52,174.76,2990538.0,178.89,174.52,174.76,174.52,2990576.0,1.0,0.0,FDX,XNYS,2022-11-14T00:00:00+0000
33,166.89,176.9,166.24,175.61,4436200.0,176.8986,166.24,175.61,166.89,4436491.0,1.0,0.0,FDX,XNYS,2022-11-11T00:00:00+0000
34,162.7,167.54,162.7,166.0,3783073.0,167.54,162.7,166.0,162.7,3783073.0,1.0,0.0,FDX,XNYS,2022-11-10T00:00:00+0000
35,158.0,161.13,157.62,158.04,2198106.0,161.13,157.62,158.04,158.0,2257448.0,1.0,0.0,FDX,XNYS,2022-11-09T00:00:00+0000
36,160.0,163.29,157.33,159.54,2772646.0,163.29,157.33,159.54,160.0,3602704.0,1.0,0.0,FDX,XNYS,2022-11-08T00:00:00+0000
37,157.9,159.68,157.04,159.24,1345323.0,159.68,157.04,159.24,157.9,1711987.0,1.0,0.0,FDX,XNYS,2022-11-07T00:00:00+0000
38,157.22,158.9,154.1,156.66,1473800.0,158.9,154.1,156.66,157.22,1473866.0,1.0,0.0,FDX,XNYS,2022-11-04T00:00:00+0000
39,153.0,156.2,151.3401,154.92,3110410.0,156.2,151.3401,154.92,153.0,6053192.0,1.0,0.0,FDX,XNYS,2022-11-03T00:00:00+0000
40,156.78,160.2,154.32,154.56,2155325.0,160.2,154.32,154.56,156.78,2282973.0,1.0,0.0,FDX,XNYS,2022-11-02T00:00:00+0000
